iter	Passed	Remaining
0	135	135352
1	137	68474
2	138	46039
3	139	34801
4	140	28046
5	142	23531
6	143	20323
7	144	17907
8	145	16040
9	147	14563
10	148	13331
11	149	12304
12	150	11443
13	151	10698
14	153	10058
15	154	9497
16	155	8999
17	157	8565
18	158	8168
19	159	7812
20	161	7515
21	162	7240
22	164	7000
23	166	6770
24	168	6575
25	170	6378
26	171	6189
27	173	6011
28	175	5863
29	176	5710
30	178	5565
31	179	5435
32	181	5315
33	182	5198
34	184	5092
35	186	4998
36	188	4909
37	190	4830
38	193	4762
39	195	4683
40	196	4603
41	198	4534
42	200	4467
43	202	4399
44	204	4330
45	205	4270
46	207	4213
47	209	4161
48	211	4108
49	213	4055
50	214	3999
51	216	3951
52	218	3906
53	220	3860
54	222	3816
55	223	3768
56	225	3723
57	226	3682
58	228	3643
59	230	3609
60	232	3573
61	233	3536
62	235	3503
63	237	3472
64	239	3438
65	240	3403
66	242	3372
67	244	3350
68	246	3320
69	247	3290
70	249	3261
71	250	3232
72	252	3205
73	254	3179
74	255	3155
75	257	3134
76	259	3113
77	262	3100
78	264	3078
79	265	3053
80	266	3027
81	268	3002
82	269	2972
83	270	2954
84	272	2938
85	274	2921
86	276	2903
87	278	2885
88	280	2868
89	282	2852
90	283	2836
91	286	2825
92	289	2819
93	292	2815
94	294	2804
95	296	2792
96	298	2779
97	300	2764
98	301	2746
99	303	2731
100	305	2716
101	307	2704
102	308	2689
103	310	2673
104	311	2658
105	314	2652
106	317	2645
107	318	2633
108	320	2620
109	322	2609
110	324	2597
111	326	2585
112	327	2574
113	329	2562
114	331	2550
115	333	2539
116	334	2525
117	336	2512
118	337	2500
119	339	2488
120	341	2480
121	343	2471
122	345	2464
123	347	2453
124	348	2441
125	350	2430
126	351	2417
127	353	2406
128	354	2396
129	356	2384
130	357	2374
131	359	2363
132	360	2351
133	362	2341
134	363	2329
135	365	2319
136	366	2309
137	368	2299
138	370	2294
139	372	2290
140	375	2284
141	376	2275
142	378	2267
143	380	2259
144	381	2251
145	383	2245
146	386	2240
147	388	2234
148	389	2226
149	391	2218
150	393	2211
151	394	2203
152	397	2200
153	399	2197
154	402	2192
155	404	2187
156	406	2180
157	408	2174
158	410	2170
159	412	2163
160	413	2153
161	414	2146
162	416	2139
163	418	2132
164	419	2125
165	421	2119
166	423	2112
167	425	2107
168	427	2101
